Country_region,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,-12.249999999999996,-10.0,-1.5499999999999972,2.5500000000000007,6.100000000000005,13.300000000000004,16.45000000000001,15.050000000000004,10.050000000000004,2.4000000000000057,-3.4999999999999964,-10.099999999999998
Albania,5.950000000000003,5.800000000000001,9.399999999999999,15.950000000000003,19.95000000000001,22.150000000000006,24.150000000000006,24.70000000000001,21.050000000000004,16.300000000000004,10.899999999999999,5.700000000000006
Algeria,12.399999999999999,14.050000000000004,19.000000000000007,24.050000000000004,28.20000000000001,34.30000000000001,36.50000000000001,35.75000000000001,32.45,25.10000000000001,18.150000000000006,13.950000000000003
Andorra,3.8000000000000043,-0.399999999999995,2.8999999999999986,6.649999999999999,9.600000000000009,14.650000000000006,18.4,18.700000000000003,15.550000000000004,9.899999999999999,5.700000000000003,3.950000000000003
Angola,22.75,23.300000000000004,23.050000000000004,22.35000000000001,20.750000000000007,17.400000000000006,17.650000000000006,20.650000000000006,22.400000000000006,24.300000000000004,24.1,22.6
Antigua and Barbuda,25.650000000000006,25.050000000000004,25.550000000000004,26.25,26.250000000000007,27.200000000000003,27.500000000000007,27.650000000000006,27.750000000000007,27.400000000000006,26.85000000000001,26.050000000000004
Argentina,24.650000000000006,24.10000000000001,18.800000000000004,16.900000000000006,11.450000000000003,7.000000000000007,6.7500000000000036,8.600000000000001,13.400000000000006,14.600000000000001,19.25,22.050000000000004
Armenia,-7.899999999999999,-6.449999999999999,-2.4999999999999964,-0.6999999999999993,4.550000000000001,8.649999999999999,13.950000000000003,13.300000000000004,11.400000000000006,5.649999999999999,-1.8999999999999986,-5.4999999999999964
Australia_Australian Capital Territory,21.650000000000006,20.25,18.550000000000004,15.550000000000004,9.700000000000003,6.399999999999999,5.650000000000006,6.300000000000001,8.8,13.350000000000001,15.750000000000007,19.6
Australia_New South Wales,23.750000000000007,22.85,22.1,21.10000000000001,16.400000000000006,13.900000000000006,13.600000000000001,13.350000000000009,15.550000000000004,18.5,20.200000000000003,22.750000000000007
Australia_Northern Territory,27.800000000000004,28.000000000000007,28.450000000000003,29.10000000000001,26.35000000000001,25.0,24.55000000000001,23.900000000000006,27.250000000000007,29.450000000000003,29.650000000000006,30.750000000000007
Australia_Queensland,25.85,25.050000000000004,24.5,22.550000000000004,18.70000000000001,16.0,15.700000000000003,15.400000000000006,18.400000000000006,21.1,23.300000000000004,24.650000000000006
Australia_South Australia,23.95000000000001,23.10000000000001,20.500000000000007,19.200000000000003,14.250000000000007,11.150000000000006,11.500000000000007,11.800000000000004,12.600000000000009,17.200000000000003,18.35000000000001,22.25
Australia_Tasmania,18.15,16.700000000000003,15.400000000000006,13.600000000000001,11.050000000000004,8.700000000000003,8.649999999999999,8.549999999999997,10.149999999999999,12.600000000000009,13.750000000000007,16.550000000000004
Australia_Victoria,22.650000000000006,21.6,19.75,17.700000000000003,13.850000000000001,10.750000000000007,10.649999999999999,11.200000000000003,12.850000000000001,16.150000000000006,17.1,21.0
Australia_Western Australia,24.0,23.950000000000003,23.750000000000007,20.500000000000007,17.700000000000003,14.75,14.900000000000006,13.800000000000004,14.950000000000003,17.60000000000001,18.550000000000004,21.800000000000004
Austria,-0.649999999999995,-5.949999999999999,-1.5,7.600000000000001,11.300000000000004,13.350000000000009,15.050000000000004,15.95000000000001,11.45000000000001,7.250000000000007,2.200000000000003,-2.349999999999998
Azerbaijan,5.600000000000005,7.700000000000003,11.800000000000004,14.350000000000009,21.25,25.650000000000006,30.200000000000003,27.6,23.85000000000001,17.6,9.800000000000004,7.100000000000001
Bahamas,20.650000000000006,24.450000000000003,21.85000000000001,24.950000000000003,25.750000000000007,27.6,28.550000000000004,28.750000000000007,28.450000000000003,27.35000000000001,25.0,23.150000000000006
Bahrain,17.000000000000007,18.1,24.500000000000007,26.250000000000007,31.550000000000004,36.45000000000001,37.00000000000001,36.60000000000001,34.00000000000001,29.550000000000004,22.10000000000001,19.450000000000003
Bangladesh,17.4,21.5,26.050000000000004,27.300000000000004,27.700000000000003,28.900000000000006,28.85,29.150000000000006,28.95000000000001,26.550000000000004,22.95000000000001,19.15
Barbados,25.150000000000006,24.70000000000001,25.500000000000007,25.900000000000006,26.050000000000004,26.300000000000004,26.400000000000006,26.45000000000001,27.000000000000007,26.35,26.150000000000006,25.550000000000004
Belarus,-4.449999999999996,-7.2499999999999964,-3.2499999999999964,10.050000000000004,16.250000000000007,17.250000000000007,19.550000000000004,18.85,14.550000000000004,7.900000000000002,1.3500000000000014,-2.799999999999997
Belgium,6.899999999999999,3.6000000000000014,5.200000000000003,12.900000000000006,15.100000000000001,18.400000000000006,21.5,19.500000000000007,15.800000000000004,12.700000000000003,7.250000000000007,6.150000000000006
Belize,22.250000000000007,24.500000000000007,25.200000000000003,26.20000000000001,27.10000000000001,27.250000000000007,27.250000000000007,26.800000000000004,27.450000000000003,26.35000000000001,24.650000000000006,23.75
Benin,27.30000000000001,30.1,30.250000000000007,29.400000000000006,28.300000000000004,26.700000000000003,25.650000000000006,24.85000000000001,25.650000000000006,26.60000000000001,27.550000000000004,26.800000000000004
Bhutan,7.050000000000004,8.650000000000002,10.800000000000004,12.550000000000004,15.100000000000009,18.35000000000001,19.250000000000007,19.700000000000003,18.550000000000004,13.550000000000004,10.350000000000009,7.550000000000004
Bolivia,26.150000000000006,26.500000000000007,26.20000000000001,26.150000000000006,23.60000000000001,20.650000000000006,22.0,22.1,25.300000000000004,27.500000000000007,26.650000000000006,26.200000000000003
